DATE,TIME,VOLUME,OPEN,CLOSE,MIN,MAX
09/15/2011,12:30:01,762,.6331,.6332,.6329,.6336
09/15/2011,12:31:01,1031,.6332,.6328,.6326,.6333
09/15/2011,12:32:01,801,.6327,.633,.6327,.6332
09/15/2011,12:33:01,806,.633,.6329,.6327,.6332
09/15/2011,12:34:01,806,.6328,.633,.6328,.6332
09/15/2011,12:35:01,852,.633,.6328,.6325,.6331
09/15/2011,12:36:01,631,.6328,.6325,.6324,.6329
09/15/2011,12:37:01,702,.6326,.6326,.6323,.6327
09/15/2011,12:38:01,801,.6325,.6328,.6324,.6329
09/15/2011,12:39:01,826,.6328,.6326,.6324,.6329
09/15/2011,12:40:01,707,.6326,.6325,.6324,.6328
09/15/2011,12:41:01,798,.6325,.6326,.6324,.6328
09/15/2011,12:42:01,802,.6326,.6326,.6324,.6328
09/15/2011,12:43:01,489,.6326,.6326,.6324,.6328
09/15/2011,12:44:01,597,.6326,.6327,.6324,.6328
09/15/2011,12:45:01,657,.6327,.6329,.6326,.633
09/15/2011,12:46:01,566,.6328,.6329,.6328,.6331
09/15/2011,12:47:01,597,.6329,.6329,.6328,.633
09/15/2011,12:48:01,545,.6328,.6329,.6327,.633
09/15/2011,12:49:01,498,.6329,.6327,.6326,.6331
09/15/2011,12:50:01,604,.6327,.6326,.6325,.6329
09/15/2011,12:51:01,554,.6326,.6326,.6325,.6329
09/15/2011,12:52:01,438,.6326,.6328,.6326,.633
09/15/2011,12:53:01,532,.6328,.6329,.6327,.6331
09/15/2011,12:54:01,547,.633,.6329,.6328,.6332
09/15/2011,12:55:01,634,.6329,.6331,.6328,.6335
09/15/2011,12:56:01,761,.6332,.633,.6329,.6334
09/15/2011,12:57:01,785,.6331,.6332,.633,.6334
09/15/2011,12:58:01,333,.6331,.6331,.6329,.6332
09/15/2011,12:59:01,656,.6331,.6332,.633,.6334
09/15/2011,13:00:01,667,.6332,.632,.6316,.6334
09/15/2011,13:01:01,605,.6318,.6321,.6314,.6322
09/15/2011,13:02:01,1109,.632,.6324,.6316,.6325
09/15/2011,13:03:01,756,.6324,.6326,.632,.6329
09/15/2011,13:04:01,1143,.6326,.6325,.6322,.6328
09/15/2011,13:05:01,1151,.6324,.6322,.6318,.6326
09/15/2011,13:06:01,1120,.632,.6316,.6314,.6323
09/15/2011,13:07:01,1234,.6316,.6316,.6313,.6319
09/15/2011,13:08:01,1106,.6316,.6316,.6313,.6318
09/15/2011,13:09:01,1116,.6316,.6318,.6314,.632
09/15/2011,13:10:01,932,.6318,.632,.6316,.6321
09/15/2011,13:11:01,1107,.6319,.6315,.6314,.632
09/15/2011,13:12:01,1228,.6316,.6312,.631,.6316
09/15/2011,13:13:01,1134,.6311,.6312,.631,.6314
09/15/2011,13:14:01,1140,.6312,.6314,.631,.6315
09/15/2011,13:15:01,1074,.6312,.6314,.6311,.6316
09/15/2011,13:16:01,966,.6312,.631,.6308,.6315
09/15/2011,13:17:01,1089,.6311,.6311,.6307,.6313
09/15/2011,13:18:01,1142,.631,.6311,.6309,.6314
09/15/2011,13:19:01,1051,.6311,.6311,.6308,.6314
09/15/2011,13:20:01,1098,.631,.6311,.6309,.6314
09/15/2011,13:21:01,1126,.6312,.6314,.631,.6316
09/15/2011,13:22:01,1129,.6315,.6317,.6311,.6318
09/15/2011,13:23:01,1191,.6317,.6316,.6314,.632
09/15/2011,13:24:01,1050,.6316,.6316,.6313,.6319
09/15/2011,13:25:01,1047,.6316,.6314,.6311,.6317
09/15/2011,13:26:01,961,.6314,.6314,.6312,.6316
09/15/2011,13:27:01,809,.6314,.6316,.6313,.6317
09/15/2011,13:28:01,1017,.6315,.6316,.6313,.6319
09/15/2011,13:29:01,887,.6316,.6316,.6316,.632
09/15/2011,13:30:01,673,.6317,.6316,.6313,.632
09/15/2011,13:31:01,789,.6316,.6312,.6311,.6317
09/15/2011,13:32:01,565,.6312,.6314,.6311,.6316
09/15/2011,13:33:01,689,.6314,.6316,.6311,.6316
09/15/2011,13:34:01,679,.6316,.6315,.6314,.6317
09/15/2011,13:35:01,498,.6315,.6317,.6314,.6318
09/15/2011,13:36:01,543,.6316,.632,.6316,.6322
09/15/2011,13:37:01,546,.632,.6318,.6317,.6321
09/15/2011,13:38:01,415,.6318,.6317,.6316,.632
09/15/2011,13:39:01,609,.6318,.6317,.6316,.6321
09/15/2011,13:40:01,517,.6317,.6318,.6316,.6321
09/15/2011,13:41:01,612,.6317,.632,.6316,.6322
09/15/2011,13:42:01,392,.632,.632,.6319,.6323
09/15/2011,13:43:01,659,.632,.632,.6317,.6322
09/15/2011,13:44:01,482,.6319,.632,.6318,.6323
09/15/2011,13:45:01,392,.6319,.6318,.6317,.6321
09/15/2011,13:46:01,361,.6318,.632,.6316,.6321
09/15/2011,13:47:01,501,.632,.632,.6318,.6324
09/15/2011,13:48:01,655,.6319,.632,.6318,.6322
09/15/2011,13:49:01,717,.632,.6318,.6318,.6323
09/15/2011,13:50:01,438,.6318,.6321,.6316,.6322
09/15/2011,13:51:01,662,.6321,.632,.6319,.6322
09/15/2011,13:52:01,555,.632,.6314,.6314,.6321
09/15/2011,13:53:01,627,.6316,.6316,.6313,.6317
09/15/2011,13:54:01,153,.6316,.6316,.6314,.6317
